Campaign,Ad Group,Ad type,Labels,Headline 1,Headline 2,Headline 3,Description Line 1,Description Line 2,Path 1,Path 2,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameters,Campaign Status,Ad Group Status,Status,Approval Status,Comment,Impressions,CTR,Avg CPC,Conversions,Cost per conv,Conv rate,Conv value per cost,Avg Pos
Conquest (Model),Bentley,Expanded text ad,KGL07904;Offer,All New Aston Martin DB11,"Lease For $2,847",Aston Martin San Diego,"Lease an all new Aston Martin DB11 AMR for $2,847 a month from Aston Martin San Diego.",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+AMR-AMR-SCFRMFEV1KGL07904?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Enabled,Approved,,89,1.12%,1.73,0,0,0.00%,0,2.2
Conquest (Model),Bentley,Expanded text ad,Branding,Aston Martin DB11,Explore DB11 Inventory,Aston Martin San Diego,Visit Aston Martin San Diego where luxury is a choice,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40db11%2Bvolante%2Cdb11%2Bcoupe%2Cdb11%2Bamr&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Bentley,Expanded text ad,KGL07934;Offer,Aston Martin DB11 Coupe,"Lease The All New DB11, $1,747",Aston Martin San Diego,"Lease an all new Aston Martin DB11 V8 for $1,747 a month. Visit Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+Coupe-V8-SCFRMFAW1KGL07934?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Enabled,Approved,,359,0.84%,4.33,0,0,0.00%,0,2.1
Conquest (Model),Bentley,Expanded text ad,KGL07934;Offer,Aston Martin DB11 Coupe,"Lease All New DB11 for $1,747",Aston Martin San Diego,"Lease an all new Aston Martin DB11 V8 for $1,747 a month from Aston Martin San Diego.",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+Coupe-V8-SCFRMFAW1KGL07934?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Enabled,Approved,,335,0.90%,2.51,0,0,0.00%,0,2.3
Conquest (Model),Bentley,Expanded text ad,KGM07817;Offer,Aston Martin DB11 Volante,"Lease All New DB11 for $1,997",Aston Martin San Diego,"Lease an all new Aston Martin DB11 V8 for $1,997 a month from Aston Martin San Diego.",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+Volante-SCFRMFCW8KGM07817?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Enabled,Approved,,70,1.43%,5.69,0,0,0.00%,0,1.9
Conquest (Model),Bentley,Expanded text ad,KGL07904;Offer,Aston Martin DB11 AMR,"Lease The All New DB11, $2,847",Aston Martin San Diego,"Lease an all new Aston Martin DB11 for $2,847 a month. Visit Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+AMR-AMR-SCFRMFEV1KGL07904?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Enabled,Approved,,1200,0.17%,1.32,0,0,0.00%,0,2.5
Conquest (Model),Bentley,Expanded text ad,KGL07904;Offer,Aston Martin DB11 AMR,"Lease All New DB11 for $2,847",Aston Martin San Diego,"Lease an all new Aston Martin DB11 AMR for $2,847 a month from Aston Martin San Diego.",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+AMR-AMR-SCFRMFEV1KGL07904?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=bentley_conquest,,,,,Enabled,Enabled,Enabled,Approved,,167,0.00%,0,0,0,0.00%,0,2.4
Conquest (Model),Lamborghini,Expanded text ad,KGN02587;Offer,The New Aston Martin Vantage,"Lease For $1,697",Aston Martin San Diego,"Lease an all new Aston Martin Vantage for $1,697 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Vantage-SCFSMGAW7KGN02587?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=lamborghini_conquest,,,,,Enabled,Enabled,Enabled,Approved,,1014,2.37%,3.46,0,0,0.00%,0,1.6
Conquest (Model),Lamborghini,Expanded text ad,KGM07817;Offer,All New Aston Martin DB11,"Lease For $1,997",Aston Martin San Diego,"Lease a new Aston Martin DB11 Volante for $1,997 a month from Aston Martin San Diego.",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DB11+Volante-SCFRMFCW8KGM07817?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=lamborghini_conquest,,,,,Enabled,Enabled,Enabled,Approved,,733,0.55%,3.07,0,0,0.00%,0,1.7
Conquest (Model),Lamborghini,Expanded text ad,KGF06299;Offer,Aston Martin Rapide,Lease A New Rapide AMR,Aston Martin San Diego,Lease an all new Aston Martin Rapide from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Rapide-AMR-SCFHMDHZ6KGF06299?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=lamborghini_conquest,,,,,Enabled,Enabled,Enabled,Approved,,776,0.26%,1.17,0,0,0.00%,0,2.3
